id,name,citizenship,byear,bplace
173,Banister,US,1957,"Harlingen,TX US"
174,Valencia,US,1965,"Houston,TX US"
175,Morgan,US,1977,"Kendallville,IN US"
176,Caylor,US,1982,"Long Island City,NY US"
177,Langer,US,1972,"Midland,TX US"
178,Diaz,US,1966,"Harold,KY US"
179,Michael,US,1960,"San Francisco,CA US"
180,Franks,US,1967,"Los Angeles,CA US"
181,Toupin,US,1940,"Norwich,CT US"
182,Durbin,US,1967,"Atlanta,GA US"
183,Corl,US,1966,"Buena Park,CA US"
184,Crane,US,1949,"Slatington,PA US"
185,Reynolds,US,1951,"Valparaiso,FL US"
186,Conley,US,1965,"Oxnard,CA US"
187,West,US,1944,"Irvine,CA US"
188,Rude,US,1952,"Honolulu,HI US"
189,Lee,US,1950,"Gibsonia,PA US"
190,Sampson,US,1965,"Boston,MA US"
191,Nevius,US,1960,"Saint Joseph,MO US"
192,Swain,US,1956,"Wheeling,IL US"
193,Mchugh,US,1982,"Sheboygan Falls,WI US"
194,Slater,US,1980,"Wood Dale,IL US"
195,Park,US,1965,"Salt Lake City,UT US"
196,Jones,US,1942,"Clarksville,AR US"
197,Carter,US,1967,"Jersey City,NJ US"
198,Rayborn,US,1973,"Columbus,GA US"
199,Shrader,US,1946,"Plainview,TX US"
200,Coleman,US,1954,"Oglesby,IL US"
201,Harrison,US,1983,"Adair,IL US"
202,Brown,US,1949,"Newark,NJ US"
203,Poole,US,1949,"Latham,NY US"
204,Campbell,US,1961,"Phoenix,AZ US"
205,Lee,US,1958,"Graham,WA US"
206,Dunkle,US,1944,"Albany,NY US"
207,Hiller,US,1944,"Fayetteville,NC US"
208,Atkinson,US,1968,"Oxnard,CA US"
209,Cox,US,1978,"Albertville,AL US"
210,Rouse,US,1984,"Chicago,IL US"
211,Purdue,US,1967,"West Roxbury,MA US"
212,Bray,US,1968,"Collegeville,PA US"
213,Landry,US,1955,"Loraine,IL US"
214,Davis,US,1951,"New York,NY US"
215,Hughes,US,1961,"Nutley,NJ US"
216,Gettinger,US,1970,"Brookfield,WI US"
217,Madison,US,1961,"Salisbury,NC US"
218,Bailey,US,1968,"Dallas,TX US"
219,Bolinger,US,1977,"Bedminster,NJ US"
220,Velez,US,1954,"San Diego,CA US"
221,Mancuso,US,1946,"Columbus,OH US"
222,Shorter,US,1976,"Cary,NC US"
223,Shealy,US,1967,"Shoreview,MN US"
224,Weir,US,1959,"Honolulu,HI US"
225,Hunter,US,1964,"New York,NY US"
226,Larkin,US,1965,"Buffalo,NY US"
227,Maston,US,1959,"Winchester,MA US"
228,Cary,US,1955,"Riverside,CA US"
229,Patterson,US,1982,"Atlanta,GA US"
230,Ott,US,1958,"Baton Rouge,LA US"
231,Leyva,US,1956,"Houston,TX US"
232,Zavala,US,1965,"Mcallen,TX US"
233,Jones,US,1971,"Woodstock,IL US"
234,Weitzel,US,1967,"Albany,NY US"
235,Badger,US,1941,"Tampa,FL US"
236,Huneycutt,US,1965,"Woodmere,NY US"
237,Setliff,US,1978,"Indianapolis,IN US"
238,Carbaugh,US,1958,"Moultrie,GA US"
239,Gregory,US,1974,"Corinne,UT US"
240,Dantonio,US,1948,"Cleveland,OH US"
241,Jenks,US,1974,"Greenville,SC US"
242,Guida,US,1962,"Rosendale,NY US"
243,Hewes,US,1956,"Mehoopany,PA US"
244,Jensen,US,1974,"Troy,MI US"
245,Green,US,1972,"Charlotte,NC US"
246,Jacinto,US,1985,"Nashua,NH US"
247,Gaddy,US,1975,"Norwich,NY US"
248,Shull,US,1941,"Dallas,TX US"
249,Maupin,US,1970,"Memphis,TN US"
250,Palmer,US,1971,"Brookfield,WI US"
251,Tran,US,1966,"Bedford,MA US"
252,Vogt,US,1947,"West Los Angeles,CA US"
253,Carey,US,1957,"Stonington,ME US"
254,Green,US,1946,"Falmouth,MA US"
255,Staudt,US,1982,"Pawleys Island,SC US"
256,Rottman,US,1951,"Fort Myers,FL US"
257,Shaffer,US,1973,"St Cloud,MN US"
258,Lockett,US,1976,"Morrisville,NC US"
259,Adam,US,1958,"Osseo,MN US"
260,Graham,US,1944,"Manchester,NH US"
261,Lewis,US,1985,"Baytown,TX US"
262,Michalak,US,1982,"Fredericksburg,VA US"
263,Williams,US,1942,"Newark,DE US"
264,Mullins,US,1954,"Gloucester City,NJ US"
265,Holman,US,1949,"Seattle,WA US"
266,Wells,US,1940,"Boston,MA US"
267,Williams,US,1951,"Anchorage,AK US"
268,Briggs,US,1944,"Omaha,NE US"
269,Cramer,US,1975,"Independence,OH US"
270,Bell,US,1940,"Edna,TX US"
271,Davis,US,1985,"Huron,SD US"
272,Mcmaster,US,1959,"Red Bank,NJ US"
273,Harris,US,1961,"Okeechobee,FL US"
274,Kent,US,1964,"Austin,TX US"
275,Mendoza,US,1975,"Providence,RI US"
276,Rodriguez,US,1979,"Hartford,CT US"
277,Stone,US,1941,"Metropolis,IL US"
278,Vargo,US,1958,"Denver,CO US"
279,Mercado,US,1941,"Denver,CO US"
280,Ellis,US,1963,"Miami,FL US"
281,Goff,US,1948,"Seattle,WA US"
282,Defrancisco,US,1963,"Eva,OK US"
283,Guevara,US,1964,"Honolulu,HI US"
284,Woodring,US,1982,"Paducah,KY US"
285,Carlock,US,1953,"Centennial,CO US"
286,Paul,US,1980,"Lansing,MI US"
287,Fishback,US,1984,"Eagleville,PA US"
288,Bryant,US,1960,"Phoenix,AZ US"
289,Taylor,US,1966,"Seattle,WA US"
290,Kelly,US,1970,"Harahan,LA US"
291,Gonzalez,US,1954,"Las Vegas,NV US"
292,Copas,US,1968,"South Bend,IN US"
293,Goodrich,US,1952,"San Antonio,TX US"
294,Gibson,US,1979,"City Of Commerce,CA US"
295,Weatherspoon,US,1943,"Greensboro,NC US"
296,Adams,US,1945,"Lexington,KY US"
297,Hedges,US,1968,"Anaheim,CA US"
298,Wolfe,US,1954,"Salina,KS US"
299,White,US,1982,"Hicksville,NY US"
300,Smith,US,1974,"Thomas (bureau),IL US"
301,Brindle,US,1946,"San Francisco,CA US"
302,Mcgee,US,1978,"Jacksonville,FL US"
303,Cardello,US,1940,"Aurora,CO US"
304,Taylor,US,1961,"Lawton,OK US"
305,Houser,US,1969,"Kaukauna,WI US"
306,Smith,US,1985,"Washington,MD US"
307,Merrifield,US,1967,"Englewood,CO US"
308,Levy,US,1977,"San Antonio,TX US"
309,Johnston,US,1971,"Vesper,WI US"
310,Powell,US,1946,"Newark,DE US"
311,Arceneaux,US,1964,"Salinas,CA US"
312,Wood,US,1961,"Plano,TX US"
313,Brown,US,1940,"Laurel Springs,NJ US"
314,Lunt,US,1948,"Meriden,CT US"
315,Fisher,US,1963,"Tulsa,OK US"
316,Rivers,US,1970,"Minneapolis,MN US"
317,Thomas,US,1978,"Wilmer,TX US"
318,Weir,US,1955,"Rochester,MN US"
319,Hayes,US,1970,"Topeka,KS US"
320,Langlois,US,1979,"Frankfort,IL US"
321,Whitesides,US,1963,"Charleston,WV US"
322,Wilson,US,1975,"Rochelle Park,NJ US"
323,Freeman,US,1958,"Chicago,IL US"
324,Hart,US,1960,"Ellijay,GA US"
325,Silva,US,1979,"San Diego,CA US"
326,Frances,US,1984,"Toledo,OH US"
327,Sullivan,US,1945,"Milwaukee,WI US"
328,Marcum,US,1979,"Houston,TX US"
329,Carroll,US,1951,"Ellensburg,WA US"
330,Garcia,US,1978,"Little Rock,AR US"
331,Barnes,US,1985,"Hahira,GA US"
332,Calhoun,US,1944,"Oakland,CA US"
333,Holt,US,1981,"Southfield,MI US"
334,Rogers,US,1958,"Indianapolis,IN US"
335,Cooney,US,1963,"Kansas City,MO US"
336,Kaelin,US,1975,"Georgetown,SC US"
337,Lockhart,US,1951,"Hattiesburg,MS US"
338,Armand,US,1943,"Adrian,MO US"
339,Alvarado,US,1940,"Tulsa,OK US"
340,Payne,US,1957,"Atlanta,GA US"
341,Andrews,US,1944,"Warwick,GA US"
342,Casas,US,1952,"Lansing,MI US"
343,Lareau,US,1957,"Tamarac,FL US"
344,Andrews,US,1980,"Houston,TX US"
345,Sheeran,US,1970,"Amesbury,NH US"
346,Mcgowan,US,1968,"Inglewood,CA US"
347,Moore,US,1975,"North Hollywood,CA US"
348,Williams,US,1945,"Philadelphia,PA US"
349,Contreras,US,1982,"Greenville,AL US"
350,Davenport,US,1971,"Fort Lauderdale,FL US"
351,Burman,US,1984,"North Custer,MT US"
352,Patterson,US,1959,"East Hartford,CT US"
353,Ortiz,US,1980,"Jacksonville,FL US"
354,Barajas,US,1983,"Oxford,MS US"
355,Schlegel,US,1961,"Greenville,SC US"
356,Beecham,US,1944,"Oakland,CA US"
357,Robles,US,1946,"Columbus,GA US"
358,Chen,US,1975,"Macon,GA US"
359,Ward,US,1967,"Montevideo,MN US"
360,Wagner,US,1953,"Kirksey,KY US"
361,Compton,US,1953,"Mc Kinney,TX US"
362,Brinkman,US,1968,"Pittsburgh,PA US"
363,Miller,US,1943,"Gary,IN US"
364,Trisler,US,1975,"Lebanon,IL US"
365,Altman,US,1943,"New York,NY US"
366,Stafford,US,1944,"Moorpark,CA US"
367,Howlett,US,1975,"San Antonio,TX US"
368,Hatfield,US,1980,"Kalamazoo,MI US"
369,Castillo,US,1954,"Birmingham,AL US"
370,Mitchell,US,1977,"City Of Commerce,CA US"
371,Fleeman,US,1952,"Pittsburgh,PA US"
372,Ferrante,US,1983,"Poway,CA US"
373,Reese,US,1951,"Miami,FL US"
374,Williams,US,1978,"Longview,TX US"
375,Montes,US,1981,"San Francisco,CA US"
376,Jackson,US,1959,"Greensboro,VT US"
377,Scott,US,1984,"Arlington Heights,IL US"
378,Lamp,US,1976,"Keyser,WV US"
379,Conwell,US,1945,"San Jose,CA US"
380,Mccord,US,1982,"Bondville,IL US"
381,Mcraney,US,1966,"Worcester,MA US"
382,Hall,US,1947,"Rocky Mount,NC US"
383,Mitchell,US,1955,"Long Island City,NY US"
384,Ginn,US,1975,"Columbus,GA US"
385,Vo,US,1962,"Walla Walla,OR US"
386,Balderas,US,1941,"Corpus Christi,TX US"
387,Hall,US,1942,"Seattle,WA US"
388,Powell,US,1971,"Long Island City,NY US"
389,Diaz,US,1964,"Philadelphia,PA US"
390,Lewis,US,1954,"Omaha,NE US"
391,Wilson,US,1975,"Elkin,NC US"
392,Machado,US,1940,"Honolulu,HI US"
393,Hernandez,US,1980,"Detroit,MI US"
394,Crumley,US,1964,"Atlanta,GA US"
395,Frizzell,US,1960,"Redkey,IN US"
396,David,US,1943,"Culloden,WV US"
397,Eyman,US,1979,"Springdale,AR US"
398,Dunbar,US,1964,"Kansas City,MO US"
399,Graves,US,1951,"Bedford,MA US"
400,Mcdermott,US,1966,"Creedmoor,NC US"
401,Roth,US,1952,"Loyal,WI US"
402,Matsumura,US,1948,"Champaign,IL US"
403,Maines,US,1951,"Houston,TX US"
404,Stewart,US,1985,"Norcross,GA US"
405,Martines,US,1941,"Jeffersonville,IN US"
406,Summers,US,1958,"Atlanta,GA US"
407,Brookshire,US,1956,"Buffalo,NY US"
408,Otto,US,1941,"Houston,TX US"
409,Payan,US,1952,"Shannon,MS US"
410,Pritchard,US,1952,"Elmhurst,IL US"
411,Hall,US,1971,"San Mateo,CA US"
412,Michels,US,1974,"Winston Salem,NC US"
413,Harris,US,1969,"Camden,NJ US"
414,Drennan,US,1961,"York,PA US"
415,Avalos,US,1959,"Orinda,CA US"
416,Munoz,US,1948,"Oregon,MO US"
417,Williams,US,1940,"Clinton,IA US"
418,Hall,US,1953,"Pittsburgh,PA US"
419,Clark,US,1963,"Pennsauken,NJ US"
420,Boone,US,1973,"Fort Worth,TX US"
421,Anthony,US,1941,"San Jose,CA US"
422,White,US,1984,"Chico,CA US"
423,Mathews,US,1984,"Danville,VA US"
424,Neri,US,1972,"Camden,NJ US"
425,Burkley,US,1970,"Savannah,GA US"
426,Witherspoon,US,1959,"New York,NY US"
427,Stanley,US,1984,"Indianapolis,IN US"
428,Nelson,US,1965,"Waipahu,HI US"
429,Rhynes,US,1947,"Boston,MA US"
430,Karle,US,1944,"Burbank,CA US"
431,Olson,US,1964,"Washington,DC US"
432,Banning,US,1962,"Jacksonville,FL US"
433,Esteban,US,1976,"Huntsville,AL US"
434,Taylor,US,1968,"Houston,TX US"
435,Servantes,US,1952,"Fort Myers,FL US"
436,Hawkins,US,1956,"Wallingford,CT US"
437,Bond,US,1965,"Garner,NC US"
438,Reed,US,1961,"Jackson,MS US"
439,Baldwin,US,1971,"Independence,OH US"
440,Clanton,US,1965,"Cookeville,TN US"
441,Perry,US,1970,"Houston,TX US"
442,Zamora,US,1969,"Cambridge,MA US"
443,Woods,US,1969,"Brookings,OR US"
444,Craig,US,1950,"Larose,LA US"
445,Gillis,US,1985,"White Lake (oakland),MI US"
446,Padillo,US,1966,"Piscataway,NJ US"
447,Earles,US,1978,"San Antonio,TX US"
448,Hollingshead,US,1961,"Boston,MA US"
449,Osteen,US,1960,"Gardena,CA US"
450,Canipe,US,1942,"Houston,TX US"
451,Preiss,US,1963,"Louisville,KY US"
452,Young,US,1975,"Southfield,MI US"
453,Anderson,US,1973,"Washington,VA US"
454,Polite,US,1946,"Phoenix,AZ US"
455,Noble,US,1968,"Providence,RI US"
456,Stclair,US,1959,"King Of Prussia,PA US"
457,Castelli,US,1974,"Parkersburg,WV US"
458,Moore,US,1962,"Pleasant Hill,MO US"
459,Adair,US,1946,"Decatur,IL US"
460,Flowers,US,1979,"Salem,OR US"
461,Rigby,US,1944,"Scranton,PA US"
462,Mccandless,US,1964,"Orlando,FL US"
463,Grant,US,1967,"Youngstown,OH US"
464,Merritt,US,1968,"Portland,OR US"
465,Booker,US,1963,"Independence,OH US"
466,Nadel,US,1961,"Ceresco,NE US"
467,Zimmerman,US,1953,"Selden,NY US"
468,Zahn,US,1961,"Columbus,OH US"
469,Decarlo,US,1979,"Wayne,PA US"
470,Bravo,US,1957,"Phoenix,AZ US"
471,Rogers,US,1983,"Miami,FL US"
472,Dominguez,US,1964,"Shreveport,LA US"
473,Lewis,US,1952,"Nashville,TN US"
474,Adams,US,1940,"Schaumburg,IL US"
475,Macon,US,1981,"New Haven,CT US"
476,Hicks,US,1981,"Norfolk,VA US"
477,Gleaves,US,1952,"Los Angeles,CA US"
478,Poole,US,1982,"Burns,KS US"
479,Biggs,US,1965,"Mountville,PA US"
480,Williams,US,1965,"Laurel,VA US"
481,Magee,US,1948,"Sacramento,CA US"
482,Krouse,US,1946,"Clarksburg,WV US"
483,Downs,US,1942,"Seattle,WA US"
484,Davis,US,1972,"Radcliff,KY US"
485,Rowell,US,1970,"San Jose,CA US"
486,Sunderman,US,1982,"Atlanta,GA US"
487,Johnson,US,1981,"Medaryville,IN US"
488,Rice,US,1947,"Fort Washington,PA US"
489,Hill,US,1965,"Las Vegas,NV US"
490,Hendrix,US,1964,"Detroit Lakes,MN US"
491,Johnson,US,1954,"Grand Prairie,TX US"
492,Rollins,US,1946,"Metairie,LA US"
493,Santoro,US,1966,"Russell,KY US"
494,Tate,US,1957,"Southfield,MI US"
495,Sims,US,1975,"Portland,OR US"
496,Finney,US,1956,"Fort Lauderdale,FL US"
497,Murphy,US,1976,"Pueblo,CO US"
498,Stjohn,US,1978,"Phoenix,AZ US"
499,Gaiser,US,1948,"Flint,MI US"
500,Levy,US,1963,"Prospect,OH US"
501,Cooper,US,1973,"San Francisco,CA US"
502,Mccarty,US,1979,"Chicago,IL US"
503,Smith,US,1985,"Fort Richardson,AK US"
504,Willoughby,US,1942,"Erie,PA US"
505,Mckinsey,US,1958,"San Jose,CA US"
506,Hadden,US,1967,"San Francisco,CA US"
507,Joe,US,1949,"New York,NY US"
508,Aylward,US,1964,"Fairport,NY US"
509,Bast,US,1950,"Grand Rapids,MI US"
510,Buch,US,1958,"Louisville,KY US"
511,Martinez,US,1964,"Charleston,WV US"
512,Robles,US,1941,"Miami,FL US"
513,Landers,US,1956,"Havelock,NC US"
514,Swenson,US,1958,"Las Vegas,NV US"
515,Piper,US,1942,"Ocala,FL US"
516,Nelson,US,1976,"Lexington,KY US"
517,Stewart,US,1966,"Bridgeville,PA US"
518,Villanueva,US,1952,"Lewisville,TX US"
519,Barber,US,1963,"Pelham,NH US"
520,Jacques,US,1947,"Las Vegas,NV US"
521,Moya,US,1970,"Port Townsend,WA US"
522,Norris,US,1955,"Springfield,MA US"
523,Martone,US,1971,"Plant City,FL US"
524,Campbell,US,1946,"Greensboro,NC US"
525,Kohn,US,1946,"Cypress,TX US"
526,Huston,US,1951,"Fort Wayne,IN US"
527,Larson,US,1948,"Boise,ID US"
528,Schneider,US,1977,"Show Low,AZ US"
529,Race,US,1949,"Adrian,MI US"
530,Lane,US,1981,"Panama City,FL US"
531,Mckinney,US,1957,"Denver,CO US"
532,Dent,US,1965,"New York,NY US"
533,Johnson,US,1966,"Grand Marais,MI US"
534,Jefferson,US,1946,"New Cambria,MO US"
535,Bulluck,US,1978,"Saint Louis,MO US"
536,Collins,US,1950,"Anchorage,AK US"
537,Rucker,US,1967,"Chicago,IL US"
538,Sikes,US,1962,"Wampee,SC US"
539,Blough,US,1966,"Union City,IN US"
540,Lavigne,US,1985,"Brentwood,NY US"
541,Malone,US,1978,"Washington,DC US"
542,Stephens,US,1967,"Garden City,NY US"
543,Odonnell,US,1983,"Saint Louis,MO US"
544,Mckinnon,US,1956,"Arlington Heights,IL US"
545,Lee,US,1983,"Little Rock,AR US"
546,Heath,US,1969,"Cleveland,OH US"
547,Jackson,US,1974,"Benton Harbor,MI US"
548,Garcia,US,1944,"Keyport,NJ US"
549,Schulz,US,1954,"Brentwood,NY US"
550,Ellis,US,1953,"De Pere,WI US"
551,Ramos,US,1958,"Perrine,FL US"
552,Brown,US,1966,"Los Angeles,CA US"
553,Martinez,US,1955,"Hatton,WA US"
554,Guzman,US,1971,"Hastings,NE US"
555,Beck,US,1965,"Dayton,OH US"
556,Taylor,US,1944,"Houston,TX US"
557,Barth,US,1946,"Los Angeles,CA US"
558,Marrero,US,1981,"Deland,FL US"
559,Smith,US,1950,"Fresno,CA US"
560,Grayson,US,1947,"Winter Park,FL US"
561,Keesler,US,1949,"Oakhurst,TX US"
562,Carver,US,1959,"Atlanta,GA US"
563,Shaw,US,1958,"Glassboro,NJ US"
564,Carlisle,US,1942,"Wheatland,IA US"
565,Dubois,US,1941,"Boise,ID US"
566,Cobb,US,1942,"Martinstown,MO US"
567,Shaw,US,1956,"Columbia,SC US"
568,Ambriz,US,1978,"Salinas,CA US"
569,Clark,US,1972,"Washington,DC US"
570,Jenkins,US,1968,"Detroit,MI US"
571,Macias,US,1947,"Roseburg,OR US"
572,Sites,US,1953,"Washington,DC US"
573,Hubert,US,1949,"Santa Clara,CA US"
574,Fuller,US,1957,"Memphis,TN US"
575,Tyler,US,1980,"Las Vegas,NV US"
576,Palmer,US,1957,"Los Angeles,CA US"
577,Garcia,US,1978,"Rochelle Park,NJ US"
578,Thomas,US,1948,"Shreveport,LA US"
579,Marshall,US,1962,"Southfield,MI US"
580,Luna,US,1942,"Nashville,TN US"
581,Finley,US,1982,"Ft Lauderdale,FL US"
582,Knox,US,1952,"Silver Spring,DC US"
583,Greenwald,US,1944,"San Pedro,CA US"
584,Aparicio,US,1979,"Green Bay,WI US"
585,Simpson,US,1944,"Irvine,CA US"
586,Bartsch,US,1967,"San Diego,CA US"
587,Alston,US,1961,"Allwood,VA US"
588,Rodriguez,US,1981,"Elkhart,IN US"
589,Mcclure,US,1957,"Tacoma,WA US"
590,Fuentes,US,1984,"West Palm Beach,FL US"
591,Rucker,US,1951,"Gainesville,FL US"
592,Payton,US,1980,"Oakland,CA US"
593,Bender,US,1949,"Seattle,WA US"
594,Romero,US,1979,"Philadelphia,PA US"
595,Manley,US,1941,"Ventnor City,NJ US"
596,Henderson,US,1951,"Harrisonburg,VA US"
597,Garcia,US,1975,"New York,NY US"
598,Kirkland,US,1941,"Charlotte,NC US"
599,Rodriguez,US,1983,"Socaldwell,OK US"
600,Rodriguez,US,1947,"Kensett,IA US"
601,Dorsey,US,1977,"Atlanta,GA US"
602,Pulido,US,1959,"Laredo,TX US"
603,Foutz,US,1955,"Marion,VA US"
604,Senger,US,1948,"Fort Worth,TX US"
605,Thomason,US,1948,"Phoenix,AZ US"
606,Nair,US,1980,"City Of Commerce,CA US"
607,Bays,US,1945,"Lake Zurich,IL US"
608,Mckenzie,US,1983,"Philadelphia,PA US"
609,Winter,US,1953,"Norwalk,CT US"
610,Dunn,US,1970,"Mission,SD US"
611,Orourke,US,1967,"Mansfield,OH US"
